NO,PROVINSI,KOTA/KABUPATEN,ONGKIR / Juta (MEJA 9 FT)
,,Kab. Kapuas Hulu,"3,8 - 4,5 JT"
,,Kab. Kayong Utara,"3,8 - 4,5 JT"
,,Kab. Ketapang,"3,8 - 4,5 JT"
,,Kab. Kubu Raya,"3,8 - 4,5 JT"
,,Kab. Landak,"3,8 - 4,5 JT"
,,Kab. Melawi,"3,8 - 4,5 JT"
,,Kab. Mempawah,"3,8 - 4,5 JT"
,,Kab. Sambas,"3,8 - 4,5 JT"
,,Kab. Sanggau,"3,8 - 4,5 JT"
,,Kab. Sekadau,"3,8 - 4,5 JT"
,,Kab. Sintang,"3,8 - 4,5 JT"
,,Kota Pontianak,"3,8 - 4,5 JT"
,,Kota Singkawang,"3,8 - 4,5 JT"
21,Kalimantan Tengah,Kab. Barito Selatan,"3,8 - 4 JT"
,,Kab. Barito Timur,"3,8 - 4 JT"
,,Kab. Barito Utara,"3,8 - 4 JT"
,,Kab. Gunung Mas,"3,8 - 4 JT"
,,Kab. Kapuas,"3,8 - 4 JT"
,,Kab. Katingan,"3,8 - 4 JT"
,,Kab. Kotawaringin Barat,"3,8 - 4 JT"
,,Kab. Kotawaringin Timur,"3,8 - 4 JT"
,,Kab. Lamandau,"3,8 - 4 JT"
,,Kab. Murung Raya,"3,8 - 4 JT"
,,Kab. Pulang Pisau,"3,8 - 4 JT"
,,Kab. Seruyan,"3,8 - 4 JT"
,,Kab. Sukamara,"3,8 - 4 JT"
,,Kota Palangkaraya,"3,8 - 4 JT"
22,Kalimantan Timur,Kab. Berau,"3,8 - 4,5 JT"
,,Kab. Kutai Barat,"3,8 - 4,5 JT"
,,Kab. Kutai Kartanegara,"3,8 - 4,5 JT"
,,Kab. Kutai Timur,"3,8 - 4,5 JT"
,,Kab. Mahakam Ulu,"3,8 - 4,5 JT"
,,Kab. Paser,"3,8 - 4,5 JT"
,,Kab. Penajam Paser Utara,"3,8 - 4,5 JT"
,,Kota Balikpapan,"3,8 - 4,5 JT"
,,Kota Bontang,"3,8 - 4,5 JT"
,,Kota Samarinda,"3,8 - 4,5 JT"
23,Kalimantan Selatan,Kab. Balangan,"3,8 - 4,5 JT"
,,Kab. Banjar,"3,8 - 4,5 JT"
,,Kab. Barito Kuala,"3,8 - 4,5 JT"
,,Kab. Hulu Sungai Selatan,"3,8 - 4,5 JT"
,,Kab. Hulu Sungai Tengah,"3,8 - 4,5 JT"
,,Kab. Hulu Sungai Utara,"3,8 - 4,5 JT"
,,Kab. Kotabaru,"3,8 - 4,5 JT"
,,Kab. Tabalong,"3,8 - 4,5 JT"
,,Kab. Tanah Bumbu,"3,8 - 4,5 JT"
,,Kab. Tanah Laut,"3,8 - 4,5 JT"
,,Kab. Tapin,"3,8 - 4,5 JT"
,,Kota Banjarbaru,"3,8 - 4,5 JT"
,,Kota Banjarmasin,"3,8 - 4,5 JT"
24,Kalimantan Utara,Kab. Bulungan,"3,8 - 4,5 JT"
,,Kab. Malinau,"3,8 - 4,5 JT"
,,Kab. Nunukan,"3,8 - 4,5 JT"
,,Kab. Tana Tidung,"3,8 - 4,5 JT"
,,Kota Tarakan,"3,8 - 4,5 JT"
25,Gorontalo,Kab. Boalemo,"3,8 - 4 JT"
,,Kab. Bone Bolango,"3,8 - 4 JT"
,,Kab. Gorontalo,"3,8 - 4 JT"
,,Kab. Gorontalo Utara,"3,8 - 4 JT"
,,Kab. Pohuwato,"3,8 - 4 JT"
,,Kota Gorontalo,"3,8 - 4 JT"
26,Sulawesi Barat,Kab. Majene,"3,5 - 4 JT"
,,Kab. Mamasa,"3,5 - 4 JT"
,,Kab. Mamuju,"3,5 - 4 JT"
,,Kab. Mamuju Tengah,"3,5 - 4 JT"
,,Kab. Pasangkayu,"3,5 - 4 JT"
,,Kab. Polewali Mandar,"3,5 - 4 JT"
27,Sulawesi Tengah,Kab. Banggai,"4,5 - 5 JT"
,,Kab. Banggai Kepulauan,"4,5 - 5 JT"
,,Kab. Banggai Laut,"4,5 - 5 JT"
,,Kab. Buol,"3,8 - 4 JT"
,,Kab. Donggala,"3,8 - 4 JT"
,,Kab. Morowali,"3,8 - 4 JT"
,,Kab. Morowali Utara,"3,8 - 4 JT"
,,Kab. Parigi Moutong,"3,8 - 4 JT"
,,Kab. Poso,"3,8 - 4 JT"
,,Kab. Sigi,"3,8 - 4 JT"
,,Kab. Tojo Una-Una,"3,8 - 4 JT"
,,Kab. Tolitoli,"3,8 - 4 JT"
,,Kota Palu,"3,8 - 4 JT"
28,Sulawesi Utara,Kab. Bolaang Mongondow,"3,8 - 4 JT"
,,Kab. Bolaang Mongondow Selatan,"3,8 - 4 JT"
,,Kab. Bolaang Mongondow Timur,"3,8 - 4 JT"
,,Kab. Bolaang Mongondow Utara,"3,8 - 4 JT"
,,Kab. Kepulauan Sangihe,"3,8 - 4 JT"
,,Kab. Kepulauan Siau Tagulandang Biaro,"3,8 - 4 JT"
,,Kab. Kepulauan Talaud,"3,8 - 4 JT"
,,Kab. Minahasa,"3,8 - 4 JT"
,,Kab. Minahasa Selatan,"3,8 - 4 JT"
,,Kab. Minahasa Tenggara,"3,8 - 4 JT"
,,Kab. Minahasa Utara,"3,8 - 4 JT"
,,Kota Bitung,"3,8 - 4 JT"
,,Kota Kotamobagu,"3,8 - 4 JT"
,,Kota Manado,"3,8 - 4 JT"
,,Kota Tomohon,"3,8 - 4 JT"
29,Sulawesi Tenggara,Kab. Bombana,"4 - 4,5 JT"
,,Kab. Buton,"4 - 4,5 JT"
